word,wordType,pronunciation,meaning,example
basis,adj,/'beisis/,"cơ bản, cơ sở",This document will form the basis for our discussion.
complete,verb,/kəm'pli:t/,"‹làm/làm cho› hoàn toàn, đầy đủ",Complete the sentence with one of the adjectives provided.
excite,verb,/ik'sait/,"kích thích, kích động",Nothing about my life excites me at present.
flavor,noun,/'fleivə/,"mùi vị, hương vị,",We sell 32 different flavors of ice cream.
forget,verb,/fə'get/,quên,"I'm sorry, I've forgotten your name."
ingredient,noun,/in'gri:djənt/,thành phần,The list of ingredients included 250 g of almonds.
judge,verb,/'dʤʌdʤ/,"xét xử, phân xử",a British high-court judge
Mix-up,noun,/'miks'ʌp/,"‹sự› lộn xộn, hỗn độn",There was a mix-up at the office and we all received the wrong forms.
patron,noun,/'peitrən/,người bảo trợ,Princess Royal is a well-known patron of several charities.
predict,verb,/pri'dikt/,nói trước,It's still not possible to accurately predict the occurrence of earthquakes.
