word,wordType,pronunciation,meaning,example
brand,noun,/brænd/,nhãn hiệu,This isn't my usual brand of deodorant.
conform,verb,/kən'fɔ:m/,làm cho phù hợp,"At our school, you were required to conform, and there was no place for originality."
defect,noun,/di'fekt/,khuyết điểm,"All the company's aircraft have been grounded, after a defect in the engine cooling system was discovered."
enhance,verb,/in'hɑ:ns/,"nâng cao,, tăng cường",These scandals will not enhance the organization's reputation.
garment,noun,/'gɑ:mənt/,Quần áo,He’s fussy about how a garment fits him.
inspect,verb,/in'spekt/,kiểm tra,"After the crash, both drivers got out and inspected their cars for damage."
perceptive,adj,/pə'septiv/,nhận thức được,Her books are full of perceptive insights into the human condition.
repel,verb,/ri'pel/,chống lại,It is not true that eating garlic repels mosquitoes.
take back,verb,,"rút lui, rút lại",Is it too small? Take it back and get a refund.
throw out,verb,,"vứt bỏ, bỏ đi, đuổi đi",The case was thrown out by the courts due to lack of evidence.
uniformly,adverb,/ˌjuːnɪˈfɔːmət/,đồng đều thống nhất,Critics were uniformly enthusiastic about the production.
wrinkle,noun,/'riɳkl/,"‹/nếp› nhăn, nhàu",fine wrinkles around the eyes
