word,meaning,example
It's often said that ...,Người ta thường nói rằng ...,It's often said that ...
Many people claim [kleim] that ...,Rất nhiều người nói rằng ...,Many people claim [kleim] that ...
In this day and age.../Nowadays.../These days...,Ngày nay ...,In this day and age.../Nowadays.../These days...
We live in an age when many of us are ...,Chúng ta đang sống trong một thời đại mà rất nhiều ...,We live in an age when many of us are ...
... is a hotly-debated topic that often divices opinion.,... là một vấn đề sôi nổi và có nhiều ý kiến trái chiều,... is a hotly-debated topic that often divices opinion.
... is often discussed yet rarely understood,... thường được bàn luận nhưng hiếm khi được hiểu,... is often discussed yet rarely understood
The following essay takes a lot of both sides of the argument.,Bài luận sau sẽ nhìn nhận cả hai mặt của vẫn đề,The following essay takes a lot of both sides of the argument.
I'd like to point out right at the beginning that ...,Tôi muốn chỉ rõ ngay từ đầu là ...,I'd like to point out right at the beginning that ...
"Just at the beginning, I would go as far as to say that","Để mở đầu, tôi muốn nói là ...","Just at the beginning, I would go as far as to say that"
We clearly remember that...,Chúng tôi nhớ rõ là...,We clearly remember that...
"Today, we'll be talking a closer look at...",Hôm nay chúng ta sẽ bàn luận sâu hơn về ...,"Today, we'll be talking a closer look at..."
Let's talk briefly about....,Hãy nói ngắn gọn về ...,Let's talk briefly about....
