word,meaning,example
Nod your head,Gật đầu,
Shake your head,Lắc đầu,
Turn your head,"Quay đầu, ngoảnh mặt đi hướng khác.",
Roll your eyes,Đảo mắt,
Blink your eyes,Nháy mắt,
Raise an eyebrow / Raise your eyebrows,Nhướn mày,
Blow nose,Hỉ mũi,
Stick out your tongue,Lè lưỡi,
Clear your throat,"Hắng giọng, tằng hắng",
Shrug your shoulders,Nhướn vai,
Cross your legs,"Khoanh chân, bắt chéo chân (khi ngồi.)",
Cross your arms,Khoanh tay.,
Keep your fingers crossed,"Bắt chéo 2 ngón trỏ và ngón giữa (biểu tượng may mắn, cầu may.)",
Give the thumbs up/down,Giơ ngón cái lên/xuống (khen good/bad),
