word,wordType,pronunciation,meaning,example
adjustment,noun,/ə'dʤʌstmənt/,điều chỉnh,She made a few minor adjustments to the focus of her camera.
automatically,adverb,/ˌɔːtəˈmætɪkli/,‹một cách› tự động,The camera adjusts the shutter speed automatically.
crucial,adj,/'kru:ʃjəl/,"cốt yếu, chủ yếu",Self - motivation is crucial to success.
discrepancy,noun,/dis'krepənsi/,"‹sự› khác nhau, trái ngược nhau",There is some discrepancy between the two accounts.
disturb,verb,/dis'tə:b/,quấy rầy,Please don't disturb your sister - she's trying to do her homework.
liability,noun,"/,laiə'biliti/",trách nhiệm,He denies any liability for the damage caused.
reflection,noun,/rɪˈflekʃn/,"‹sự› phản chiếu, phản xạ","In Greek mythology, Narcissus fell in love with his own reflection in a pool of water."
run,verb,/rʌn/,"chạy, vận hành",[ + to-infinitive ] The children had to run to keep up with their father.
scan,verb,/skæn/,"xem lướt, xem qua",She anxiously scanned the faces of the men leaving the train.
subtract,verb,/səb'trækt/,"trừ đi, khấu trừ",Four subtracted from ten equals six.
tedious,adj,/'ti:djəs/,chán ngắt,a tedious job
verify,verb,/'verifai/,kiểm tra lại,Are you able to verify your account/allegation/report/theory?
