word,wordType,pronunciation,meaning,example
appeal,noun,/ə'pi:l/,"‹lời› kêu gọi, cầu khẩn",They're launching(= starting) an appeal to raise money for famine victims.
arrive,verb,/ə'raiv/,"đến, đi đến, tới nơi",What time will your train arrive?
compromise,"noun, verb",/'kɔmprəmaiz/,"(n) sự thỏa hiệp, (v) thỏa hiệp",It is hoped that a compromise will be reached in today's talks.
daringly,adj,/ˈdeərɪŋ/,"táo bạo, cả gan",a daringly short skirt
familiar,adj,/fə'miljə/,"quen thuộc, thân thuộc",There were one or two familiar faces(= people I knew).
guide,noun,/ɡaɪd/,người hướng dẫn,a hotel/wine guide
majority,noun,/mə'dʤɔriti/,"đa số, phần lớn",The majority of the employees have university degrees.
mix,"verb, noun",/miks/,"(v) trộn lẫn, pha lẫn, (n) sự kết hợp, hỗn hợp",Oil and water don't mix. Even if you shake them together they separate into two layers.
rely,verb,/ri'lai/,"dựa vào, tin cậy vào",[ + -ing verb ] The success of this project relies on everyone making an effort.
secure,verb,/si'kjuə/,an toàn,That ladder doesn't look very secure to me.
subjective,adj,/səb'dʤektiv/,chủ quan,"I think my husband is the most handsome man in the world, but I realize my judgment is rather subjective."
suggestion,noun,/sə'dʤestʃn/,"đề nghị, ý kiến",I don't know what to wear tonight - do you have any suggestions?
