word,wordType,pronunciation,meaning,example
comprehensive,adj,"/,kɔmpri'hensiv/",bao hàm,We offer you a comprehensive training in all aspects of the business.
deluxe,adj,/dɪˈlʌks/,"xa xỉ, xa hoa",a deluxe hotel in Paris
directory,noun,/di'rektəri/,danh bạ,a business directory
duration,noun,/djuə'reiʃn/,khoảng thời gian (tồn tại một sự việc),He planned a stay of two years' duration.
entitle,verb,/ɪnˈtaɪtl/,cho phép làm cái gì,Being unemployed entitles you to free medical treatment.
fare,noun,/feə/,cước phí,Train fares are going up again.
offset,verb,/'ɔ:fset/,"bù lại, bù đắp",The extra cost of traveling to work is offset by the lower price of houses here.
operate,verb,/'ɔpəreit/,hoạt động,How do you operate the remote control unit?
punctually,adverb,/'pʌɳktjuəli/,"đúng giờ, không chậm trễ",The meeting started punctually at 10.00 a.m.
relatively,adverb,/'relətivli/,tương đối,He's a relatively good squash player.
remainder,noun,/ri'meində/,phần còn lại,The remainder is paid when you receive goods.
remote,adj,/ri'mout/,"xa, xa xôi, xa xăm","Australia is large, and remote from the great centers of population of the world."
