word,wordType,pronunciation,meaning,example
affordable,adj,/əˈfɔːd/,"có đủ khả năng, có đủ điều kiện (sức lực/thời gian/tiền bạc)",nice clothes at affordable prices
as needed,adverb,,"khi cần, lúc cần, cần thiết",Incoming purchased material is inspected daily or as needed to expedite the shortage material.
be in charge of,verb,,"chịu trách nhiệm về; đang điều khiển, đang chỉ huy",You'll be in charge of the afternoon watch.
capacity,noun,/kə'pæsiti/,"sức chứa, dung tích, khả năng chứa đựng; khả năng, năng lực","The stadium has a seating capacity of 50,000."
durable,adj,/ˈdjʊərəbl/,"bền, lâu, lâu bền",The machines have to be made of durable materials.
initiative,noun,/i'niʃiətiv/,"bắt đầu, khởi đầu, khởi xướng",The peace initiative was welcomed by both sides.
physically,adverb,/ˈfɪzɪkli /,"về thân thể/cơ thể/thể chất; theo quy luật tự nhiên, một cách vật lý",Physically I find him very attractive.
provider,noun,/provider/,"người cung cấp, nhà cung cấp (supplier)",an internet service provider
recur,verb,/ri'kə:/,"lặp lại, diễn lại, tái diễn, tái phát; lặp đi lặp lại",The theme of freedom recurs throughout her writing.
reduction,noun,/ri'dʌkʃn/,"‹sự› giảm, hạ, thu nhỏ, hạ thấp (lessening, decrease)",Give me a reduction.
stay on top of,verb,,"nắm bắt tình hình (đang xảy ra), hiểu biết thông tin mới nhất",This means that salesmen have to stay on top of their markets.
stock,"verb, noun",/stɒk/,"kho/hàng dự trữ; vốn, cổ phần",It is now halfway through winter and food stocks are already low.
