word,meaning,example
Hello. How are you?,Xin chào. Bạn khỏe không?,
Great.,Tuyệt,
"Hi, how are things? ","Chào, mọi chuyện thế nào?",
"Hey, how are you?","Này, bạn khỏe không?",
What’s up?,- Khỏe không?,
How’s it going?,Dạo này bạn thế nào?,
What’s your name?,Tên của bạn là gì?,
My name’s + [name],Tên tôi là + [tên].,My name’s James.
I’m + [name],Tôi là + [tên],I’m James.
My name’s + [name] but you can call me + [nick-name],"Tôi tên là + [tên], nhưng bạn có thể gọi tôi là [tên khác]",My name’s Benjamin but you can call me Ben.
Where are you from?,Bạn đến từ đâu?,
I come from + [country],Tôi đến từ + [đất nước],I come from Vietnam.
"I was born in + [place], and have lived here my whole/entire life.","Tôi sinh ra ở + [địa điểm], và đã sống ở đây cả cuộc đời.","I was born in Hanoi, and have lived here my whole life."
Where do you live?,Bạn sống ở đâu?,
I live in/ on/ at + [place],Tôi sống ở/ trên/ tại + [địa điểm],I live in Los Angeles. I live on Lombard Street. I live on Pennsylvania Avenue. I live on San Fernando Road. I live at 35 Hill Street.
Do you know + [place]? I live around there.,Bạn có biết + [địa điểm]? Tôi sống ở gần đó.,Do you know Regent Street? I live around there.
Near + [place],Tôi sống gần tháp Eiffel.,I live near the Eiffel Tower.
How long have you been living there?,Bạn đã sống ở đó bao lâu?,
I’ve been living here for + [number] years.,Tôi đã sống ở đây trong + [số lượng] năm.,I’ve been living here for about 3 years.
I’ve been living here since I was born.,Tôi đã sống ở đây kể từ khi tôi được sinh ra.,
I moved to + [place] when I was + [number] years old.,Tôi chuyển đến + [địa điểm] khi tôi + [số lượng] tuổi.,I moved to California when I was 7-years-old.
Who do you live with?,Bạn sống với ai?,
I live with my family / parents / friends.,Tôi sống chung với gia đình / bố mẹ / bạn bè của tôi,
I live alone [by myself] in a rented room / apartment / house.,Tôi sống một mình trong một căn phòng thuê / căn hộ / ngôi nhà.,
[someone] + I live together.,[người] + và tôi sống cùng nhau.,My sister and I live together in San Francisco.
What do you do?,Bạn làm nghề gì?,
I’m a/an + job.,Tôi là một + [nghề nghiệp].,I’m a teacher.
I work for + [company]/ work at + [place].,Tôi làm việc cho + [công ty] / làm việc tại + [địa điểm].,I work for Microsoft. I work at a hospital.
I work as a/an + job.,Tôi làm việc như một+ [nghề nghiệp],I work as an accountant.
How long have you been working?,Bạn đã làm việc bao lâu rồi?,
I’ve been working here for about / more than / less than + [number] years.,Tôi đã làm việc ở đây trong khoảng / hơn / ít hơn + [số lượng] năm.,I’ve been working for this company for more than 10 years.
I started working at [company] [number] years ago.,Tôi bắt đầu làm việc ở [tên công ty] [số lượng] năm trước đây.,I started working at Apple 5 years ago.
I’m a new employee. / I’ve just started.,Tôi là một nhân viên mới. / Tôi vừa mới bắt đầu làm.,
How do you feel about your job?,Bạn cảm thấy công việc của mình như thế nào ?,
I love / like it (so much) because ...,Tôi yêu / thích nó (rất nhiều) bởi vì ...,"I love it (so much) because my coworkers are very friendly and I have great benefits, like health insurance and paid holidays."
I’m satisfied with my job. It’s okay for now.,Tôi hài lòng với công việc của tôi. / Giờ thì ổn rồi.,
I dislike it. [Explain why].,Tôi không thích nó. [Giải thích vì sao].,"I dislike it. I am looking for a new job, because I have outgrown my current one."
I hate it. [Explain why].,Tôi ghét nó. [Giải thích vì sao].,I hate it. It just feels like a dead-end job at this point because I am not learning anything new.
This is ... ,Đây là ... ,
Nice to meet you ,Rất vui được gặp bạn,
How do you spell + [something]? ,Bạn đánh vần [cái gì đó] như thế nào? ,
Hit the books,Học tập,
It was great meeting you ,Rất vui được gặp bạn,
Catch you later,Gặp bạn sau nhé,
Bump into,Tình cờ gặp,
You can call me + [name].,Bạn có thể gọi tôi là + [tên],
Where are you staying?,Bạn đang ở đâu? ,
Contact me via + [email/ phone number],Liên lạc với tôi qua + [email/ số điện thoại],
Sort of,Đại khái là,
