word,wordType,pronunciation,meaning,example
desire,verb,/di'zaiə/,thèm muốn,I desire only to be left in peace.
detail,verb,/'di:teil/,"chi tiết, tỉ mỉ",She insisted on telling me every single detail of what they did to her in the hospital.
forecast,"noun, verb",/fɔ:'kɑ:st/,"(n) sự dự báo trước, (v) dự báo",economic forecasts
level,noun,/'levl/,"mức, cấp, cấp bậc, trình độ",The water level in the lake is much higher after heavy rain.
overall,adj,/'ouvərɔ:l/,toàn bộ,"The overall situation is good, despite a few minor problems."
perspective,noun,/pə'spektiv/,"luật xa gần, luật phối cảnh",Her attitude lends a fresh perspective on the subject.
project,verb,/project/,kế hoạch,the Kings Crosshousing project
realistic,adj,/riə'listik/,"hiện thực, thực tế",Let's be realistic (about this) - I just can't afford to pay that much money.
target,"verb, noun",/'tɑ:git/,"(v) đặt mục tiêu nhắm vào, (n) mục tiêu",I had four shots but I didn't even hit the target.
translation,noun,/træns'leiʃn/,"bản dịch, bài dịch",Students will do one Spanish translation a week.
typically,adverb,/ˈtɪpɪkli/,"tiêu biểu, điển hình",She has that reserve and slightcoldness of manner which is typically English.
yield,"noun, verb",/jiːld/,"(n) sản lượng, (v) mang lại",an attempt to yield increased profits
