word,wordType,pronunciation,meaning,example
aggressively,adverb,/əˈɡresɪv/,"hùng hổ, tháo vát",Small children often behave aggressively.
attitude,noun,/'ætitju:d/,"quan điểm, thái độ",It's often very difficult to change people's attitudes.
commit,verb,/kə'mit/,"gửi, giao, giao phó",He was sent to prison for a crime that he didn't commit.
conservative,adj,/kən'sə:vətiv/,bảo thủ,a conservative society/outlook
fund,"noun, verb",/fʌnd/,"(n) nguồn tiền, quỹ dự trữ, (v) tài trợ",a pension/trust fund
invest,verb,/in'vest/,Đầu tư,The institute will invest five million in the project.
long-term,adj,/'lɔɳtə:m/,"dài hạn, dài ngày, lâu dài",long-term unemployment
portfolio,noun,/pɔ:t'fouljou/,danh mục đầu tư,She's trying to build up a portfolio of work to show during job interviews.
pull out,"verb, noun",/'pulaut/,"(v) rút khỏi, (n) sự rút lui",The drawer won't pull out.
resource,noun,/rɪˈsɔːs/,"tài nguyên, tài sản",The country's greatest resource is the dedication of its workers.
return,noun,/ri'tə:n/,"tiền lãi, tiền lời",Odysseus returned home/returned to his home after many years of traveling.
wisely,adj,/waɪz/,"khôn ngoan, từng trải",Sienna had very wisely left the party before all the trouble started.
