word,wordType,pronunciation,meaning,example
assemble,verb,/ə'sembl/,"thu thập, lắp ráp, tập hợp",We assembled in the meeting room after lunch.
beforehand,adverb,/bi'fɔ:hænd/,"sẵn, có sẵn, trước, sớm",I knew she was coming that afternoon because she had phoned beforehand to say so.
complication,noun,/ˌkɑːmplɪˈkeɪʃn/,"sự phức tạp, sự rắc rối",Dave couldn't find his passport at the airport and then there were further complications when Fiona lost her baggage.
courier,noun,/'kuriə/,"người đưa tin, người đưa thư, người chuyển phát",I want to have this package delivered by motorcycle courier.
express,adj,/iks'pres/,"nhanh, hỏa tốc, tốc hành.",Her eyes expressed deep sadness.
fold,verb,/fould/,"nếp gấp, gấp lại",I folded the letter(in half) and put it in an envelope.
layout,noun,/ˈleɪaʊt/,sự bổ trí trang giấy,I like the layout of the house.
mention,"noun, verb",/'menʃn/,"(n) sự đề cập, (v) nói đến, đề cập đếm, đề xuất",I'll mention your ideas to Jacinta.
petition,"noun, verb",/pi'tiʃn/,"(n) ‹sự/đơn› cầu xin, đơn kiến nghị, đơn thỉnh cầu,(v) cầu xin, kiến nghị",I signed a petition against the proposed closure of the local hospital today.
proof,noun,/proof/,"bằng chứng, chứng cớ",[ + that ] Do they have any proof that it was Hampson who stole the goods?
register,verb,/'redʤistə/,"đăng ký, sổ sách, công- tơ",I registered the car in my name.
revise,verb,/ri'vaiz/,"xem lại, duyệt lại",His helpfulness today has made me revise my original opinion/impression of him.
