word,wordType,pronunciation,meaning,example
charge,"verb, noun",/tʃɑ:dʤ/,"(v) tính phí, (n) thù lao",How much/What do you charge for a haircut and blow-dry?
compile,verb,/kəmˈpaɪl/,"soạn, soạn thảo",We're compiling some facts and figures for a documentary on the subject.
customer,noun,/'kʌstəmə/,khác hàng,The customer comes first.
discount,verb,/'diskaunt/,khuyến mãi,They usually give you a discount if you buy multiple copies.
efficient,adj,/i'fiʃənt/,có hiệu quả,The city's transport system is one of the most efficient in Europe.
estimate,"verb, noun",/'estimeit/,"(v) ước lượng, (n)‹sự› ước lượng, ước tính",Government sources estimate a long-term 50 percent increase in rail fares.
impose,verb,/im'pouz/,áp đặt,Very high taxes have recently been imposed on cigarettes.
mistake,verb,/mis'teik/,"lỗi, sai",I'm not blaming you - we all make mistakes.
order,"verb, noun",/'ɔ:də/,"(n)đơn đặt hàng, (v) đặt hàng",Can I take your order now? said the waiter.
promptly,adverb,/ˈprɒmptli/,nhanh chóng,We'll have to leave fairly promptly (= on time) if we want to catch that train.
rectify,verb,/'rektifai/,sửa cho đúng,I am determined to take whatever action is necessary to rectify the situation.
terms,noun,/tɜːmz/,"điều kiện, điều khoản",He violated the terms of the agreement.
