word,wordType,pronunciation,meaning,example
agent,noun,/'eidʤənt/,đại lý,Please contact our agent in Spain for further information.
announcement,noun,/ə'naunsmənt/,‹sự/lời› thông báo,The president made an unexpected announcement this morning.
beverage,noun,/'bəvəridʤ/,đồ uống (trừ nước lọc),"Hot beverages include tea, coffee, and hot chocolate."
blanket,"noun, verb",/'blæɳkit/,"(n) mềm, chăn, lớp phủ, (v) phủ lên, che phủ",a blanket ban
board,verb,/bɔ:d/,Lên tàu / máy bay / xe lửa,Cut the vegetables on a chopping (cutting) board.
claim,verb,/kleim/,"nhận lại, lấy lại",[ + (that) ] The company claims (that) it is not responsible for the pollution in the river.
delay,verb,/di'lei/,"chậm trễ, trì hoãn, hoãn lại",My plane was delayed by an hour.
depart,verb,/di'pɑ:t/,"rời khỏi, khởi hành",The plane departs at 6 a.m.
embarkation,noun,/em'bɑ:'keiʃn/,"‹sự/quá trình› lên tàu, cho lên tàu",You'll be asked for those documents on embarkation.
itinerary,noun,/ai'tinərəri/,lịch trình,The tour operator will arrange transport and plan your itinerary.
prohibit,verb,/prohibit/,"ngăn cấm, ngăn chặn",Motor vehicles are prohibited from driving in the town-center.
valid,adj,/'vælid/,"có giá trị, có hiệu lực",a valid argument/criticism/reason
