word,wordType,pronunciation,meaning,example
address,"noun,verb",/ə'dres/,"(n) địa chỉ, diễn văn, sự khôn khéo, (v) trình bày",her business/home address
avoid,verb,/ə'vɔid/,"tránh, tránh khỏi; hủy bỏ, bác bỏ",I try to avoid supermarkets on Saturdays - they're always so busy.
demonstrate,verb,/'demənstreit/,"bày tỏ, biểu lộ, cho thấy; chứng minh, giải thích",These numbers clearly demonstrate the size of the economic problem facing the country.
develop,verb,/di'veləp/,"phát triển, tiến triển, triển khai, mở rộng",It became clear that he wasn't developing like all the other little boys.
evaluate,verb,/i'væljueit/,"đánh giá, định giá; ước lượng",It's impossible to evaluate these results without knowing more about the research methods employed.
gather,verb,/'gæðə/,"tập hợp, tụ thập, thu thập; kết luận, suy ra",I went to several libraries to gather information about the plans.
offer,"noun,verb",/'ɔfə/,"(n) đề xuất, đề nghị, (v) đề nghị",[ + two objects ] I feel bad that I didn't offer them any food/offer any food to them.
primarily,adverb,/'praimərili/,"trước hết, đầu tiên; chính, chủ yếu, quan trọng nhất",We're primarily concerned with keeping expenditure down.
risk,noun,/rɪsk/,"sự nguy hiểm, sự rủi ro","In this business, the risks and the rewards are high."
strategy,noun,/ˈstrætədʒi/,"chiến lược, sự vạch kế hoạch hành động",The president held an emergency meeting to discuss military strategy with the Pentagon yesterday.
strong,adj,/strɔɳ/,"khỏe, mạnh, tốt, bền, kiên cố; đanh thép, kiên quyết; sôi nổi, nhiệt tình...",She must be very strong to carry such a weight on her back.
substitution,noun,"/,sʌbsti'tju:ʃn/","sự đổi, sự thay thế",It looks as though the coach is going to make a substitution (= change one player for another in the game).
