word,wordType,pronunciation,meaning,example
assist,verb,/ə'sist/,"giúp, giúp đỡ, trợ giúp",The army arrived to assist in the search.
coordinate,verb,/koʊˈɔrdnˌeɪt/,"phối hợp, kết hợp",We need someone to coordinate the whole campaign.
dimension,noun,/di'menʃn/,"kích thước, chiều, cỡ, khổ","Please specify the dimensions (= the height, length, and width)of the room."
exact,adj,/ig'zækt/,"chính xác, đúng, đúng đắn",The exact distance is 1.838 meters.
general,adj,/'dʤenərəl/,"chung, tổng quát",The general feeling is that justice was not served.
ideally,adj,/ai'diəli/,"lý tưởng, đúng như lý tưởng","Ideally, I'd like to work at home but it's just not practical."
lead time,noun,,khoảng thời gian ở giữa bắt đầu và kết thúc của một quá trình,The result of this new approach is a shorter lead time and lower costs.
plan,verb,/plæn/,‹vẽ/lập/đặt› kế hoạch,a company's business plan
proximity,noun,/proximity/,gần; sự gần gũi,The best thing about the location of the house is its proximity to the town center.
regulate,verb,/'regjuleit/,điều chỉnh,You can regulate the temperature in the house by adjusting the thermostat.
site,noun,/sait/,"nơi, chỗ, vị trí, địa điểm",a building site
stage,noun,/steidʤ/,"trình diễn, dàn cảnh",The project is in its final stages and should be completed by August.
