word,wordType,pronunciation,meaning,example
conduct,"noun, verb",/'kɔndəkt/,"(n) tư cách, cách cư xử, (v) tiến hành, cư xử",We are conducting a survey to find out what our customers think of their local bus service.
generate,verb,/'dʤenəreit/,"sinh ra, đẻ ra; làm ra, tạo ra, phát ra",Her latest film has generated a lot of interest/excitement.
hire,"noun, verb",/'haiə/,"‹sự› thuê, mướn; tiền trả công",How much would it cost to hire a car for the weekend?
keep up with,verb,,"theo kịp, bắt kịp, đạt cho bằng được",He’s never made an effort to keep up with current events.
look up to,verb,,"tôn kính, kính trọng, khâm phục",He'd always looked up to his uncle.
mentor,noun,/'mentɔ:/,người cố vấn (dày dạn kinh nghiệm),"The students' chances can be improved with more studying, mentoring, and intensive review."
on track,noun,,"theo dõi, đi tìm",a ten-mile stretch of track
reject,"noun, verb",/'ri:dʤekt/,"(v) vật bị loại, (n)đồ thừa, đồ bỏ, phế phẩm",The appeal was rejected by the court.
set up,"adj, verb",/'setʌp/,"thiết lập, tạo dựng","When I started my new job, it took me a while to get used to the set-up."
success,noun,/sək'ses/,"‹sự/người› thành công, thành đạt, thắng lợi",The success of almost any project depends largely on its manager.
training,noun,/'treiniɳ/,"‹sự› rèn luyện, tập luyện, huấn luyện, dạy dỗ, đào tạo",a training course
update,"verb, noun",/'ʌpdeit/,"(v) cập nhật, (n) sự cập nhật, thông tin mới nhất, hành động cập nhật;",an updated version of the software
