word,wordType,pronunciation,meaning,example
access,"noun, verb",/ˈækses/,"(n) lối vào, đường vào, sự/quyền truy cập; (v) truy cập",The only access to the village is by boat.
allocate,verb,/ˈæləkeɪt/,"cấp cho, phân phối, phân phát, chia phần; chỉ định, định rõ vị trí",The government is allocating £10 million for health education..
compatible,adj,/kəm'pætəbl/,"tương thích, tương hợp, hợp nhau, có thể dùng được với nhau",It was when we started living together that we found we just weren't compatible.
delete,verb,/di'li:t/,"xóa đi, bỏ đi, gạch đi (to remove, to erase)",They insisted that all expletives be deleted from the article.
display,"verb, noun",/dis'plei/,"(v) hiển thị, biểu lộ, phô bày, trình bày, trưng bày, (n) sự trưng bày",Family photographs were displayed on the wall.
duplicate,verb,/'dju:plikit/,"sao lại, làm thành 2 bản, gấp đôi, nhân đôi",The documents had been duplicated.
failure,noun,/'feiljə/,"hỏng, thiếu, yếu, trượt, thất bại, bất thành",The meeting was a complete/total failure.
figure out,verb,/ˈfɪɡə/ /aʊt/,"tìm hiểu, đoán ra, tính toán ra, giải ra","figure out how/why/what, etc. If they know the cause of the problem, they might be able to figure out how to prevent it happening again."
ignore,verb,/ig'nɔ:/,"bỏ qua, phớt lờ, không để ý tới",She can be really irritating but I try to ignore her.
search,"noun, verb",/sə:tʃ/,"(n) tìm kiếm, tìm hiểu; điều tra, thăm dò; (v) tìm",The police searched the woods for the missing boy.
shut down,verb,/ʃʌt/ /daʊn/,"đóng lại, ngừng lại; tắt máy, ngừng hoạt động, chấm dứt","The company plans to shut down four factories and cut 10,000 jobs."
warning,noun,/'wɔ:niɳ/,"‹sự/lời› cảnh báo, báo trước (có nguy hiểm hoặc gặp vấn đề rắc rối)","Completely without warning, he turned up at my door with all four children!"
