word,wordType,pronunciation,meaning,example
bicycle,noun,\ˈbaɪ.sɪ.k\,Xe đạp,I go to workby bicycle.
motorcycle,noun,\ˈməʊ.təˌsaɪ.k\,Xe mô tô,
car,noun,\kɑː\,Xe ô-tô,They don't have a car.
convertible,noun,\kənˈvɜː.tə.b\,Xe mui trần,
jeep,noun,\dʒiːp\,Xe jíp,
pickup truct,,,Xe tải nhỏ,
sports car,noun,\ˈspɔːts ˌkɑː\,Xe thể thao,
aeroplane,noun,\ˈeə.rə.pleɪn\,Máy bay,She has her own private aeroplane.
helicopter,noun,\ˈhel.ɪˌkɒp.tə\,Máy bay trực thăng,The injured were ferried to hospitalby helicopter.
fire engine,noun,\ˈfaɪər ˌen.dʒɪn\,Xe cứu hoả,
school bus,noun,\ˈskuːl ˌbʌs\,Xe bus,
train,noun,\treɪn\,Tàu hoả,a goods/freight/passenger train
tram,noun,\træm\,Xe điện,I hopped off the tram near the park.
underground,noun,\ˌʌn.dəˈɡraʊnd\,Tàu điện ngầm,an underground cave/passage/cable
commutes,verb,\kəˈmjuːt\,đi lại (sử dụng khi muốn thể hiện rằng nhà của bạn xa nơi làm việc),It's exhausting commuting from Brighton to London every day.
