word,meaning,example
What’s your name?,Tên bạn là gì?,
Can you tell me your name?,Bạn có thể cho tôi biết tên bạn?,
My name is...,Tên tôi là,My name is John
What your given name/first name/last name/family name?,Tên/Tên/Họ/Họ của bạn là gì,
My given name/first name/last name/family name is,Tên/Tên/Họ/Họ của tôi là...,
What’s your job?,Nghề của bạn là gì,
I’m a...,Tôi là,I’m a teacher
Where do you live?,Bạn sống ở đâu?,
I live in/at/on...,Tôi sống ở...,I live in HaNoi
Where do you study?,Bạn học ở đâu?,
I study in/at/on...,Tôi học ở...,I live In Hanoi university
Where do you work?,Bạn làm việc ở đâu?,
I work in/at/on...,Tôi làm việc ở...,I work in Japan/Singapore.
How old are you?,Bạn bao nhiêu tuổi?,
I’m ... years old,Tôi ... tuổi,I'm 25 years old
Why are you here?,Tại sao bạn lại ở đây?,
I’m here to...,Tôi ở đây là để...,
