word,wordType,pronunciation,meaning,example
adhere to,verb,,tuân thủ,She adhered to her principles/ideals throughout her life.
agenda,noun,/əˈdʒendə/,"nhật ký công tác, chương trình nghị sự",There were several important items on the agenda.
bring up,verb,,Đưa ra,She's always bringing up her health problems.
conclude,verb,/kən'klu:d/,"chấm dứt, kết thúc",She concluded the speech by reminding us of our responsibility.
go ahead,"noun, verb",,"(v) tiến hành, (n) sự tiến bộ, sự được phép",We've received permission to go ahead with the music festival in spite of opposition from local residents.
goal,noun,/goul/,"mục đích, mục tiêu",Black kicked/headed the ball into/towards the goal.
lengthy,adj,/'leɳθi/,"lâu, dài, dài dòng",a lengthy discussion/process
matter,noun,/'mætə/,"nội dung, sự kiện",Could I talk to you about a personal matter?
periodically,adverb,/ˌpɪəriˈɒdɪkli/,"định kỳ, thường kỳ",The equipment should be tested periodically.
priority,noun,/priority/,‹quyền/sự› ưu tiên,The management did not seem to consider office safety to be a priority.
progress,"noun, verb",/progress/,"(n) ‹sự› tiến bộ, phát triển, (v) tiến tới, tiến triển",Technological progress has been so rapid over the last few years.
waste,"verb, noun",/weist/,"(v) lãng phí, (n) sự lãng phí",That meeting achieved absolutely nothing - it was a complete waste of time.
