word,wordType,pronunciation,meaning,example
interesting,adjective,/intristiŋ/,thú vị,She's got some very interesting things to say on the subject.
awesome,adjective,/ɔ:səm/,tuyệt vời,You look totally awesome in that dress.
terrific,adjective,/tə'rifik/,"tuyệt vời, xuất sắc",Kate looks absolutely terrific tonight.
exciting,adjective,/ik´saitiη/,lý thú,It was a really exciting match.
fascinating,adjective,/fæsineitiɳ/,"hấp dẫn, lôi cuốn",I found the whole movie fascinating.
amazing,adjective,/ə'meiziɳ/,"làm kinh ngạc, tuyệt",The new theatre is going to cost an amazing (= very large)amount of money.
mind-blowing,adjective,/´maind¸blouiη/,"làm say mê, sững sờ",The movie’s special effects are mind-blowing.
boring,adjective,/´bɔ:riη/,nhàm chán,The movie was so boring I fell asleep.
awful,adjective,/´ɔ:ful/,"khủng khiếp, tồi tệ",We had awful weather.
terrible,adjective,/terəbl/,khủng khiếp,We have just received some terrible news.
tiring,adjective,/´taiəriη/,gây mệt mỏi,Looking after the kids is extremely tiring.
tedious,adjective,/ti:diəs/,"chán ngắt, nhạt nhẽo",The problem is I find most forms of exercise so tedious.
dull,adjective,/dʌl/,"buồn tẻ, chán",We could just see a dull glow given off by the fire's last embers.
enjoy,verb,/ɪnˈdʒɔɪ/,thưởng thức,I really enjoyed that movie/book/concert/party/meal.
prefer,verb,/prɪˈfɝː/,thích hơn,Do you prefer hot or cold weather?
love,verb,/lʌv/,yêu,I love you
