word,wordType,pronunciation,meaning,imageLink,copyright,example
Additional,adverb,/əˈdɪʃ.ən.əl/,A đíc-sừn-nơ-ry bản bổ xung mới ra nè,"https://img.etimg.com/thumb/msid-63294656,width-300,imgsize-38265,resizemode-4/invest-complex-gettyimages.jpg",Google,Your application still needs additional infomation
Admit,verb,/ədˈmɪt/,Ăn mít không hết thì thừa nhận đi,https://files.brightside.me/files/news/part_21/214705/preview-7639610-1200x630-99-1479292315.jpg,Google,He never admits when he make mistake
Agree,verb,/əˈɡriː/,Ơ con gà ri đi ăn mừng được đồng ý xuất chuồng kìa,https://efc.edu.vn/wp-content/uploads/2017/10/agree.jpg,Google,We can still work together if we don't agree
Announce,verb,/əˈnaʊns/,"Đi ăn nào, có thông báo nghỉ trưa rồi",https://image.shutterstock.com/z/stock-vector-group-of-audience-people-listen-to-speaker-announce-in-speech-bubble-58397218.jpg,Google,I will announce the news tomorrow
Apologize,verb,/əˈpɑː.lə.dʒaɪz/,"Cho mình xin lỗi nhé, vừa ăn thịt bò mà nó dai quá nên rụng hết răng",https://s3.amazonaws.com/media.eremedia.com/uploads/2016/03/07152358/shutterstock_370948460-700x467.jpg,Google,There is no need to apologize
Approve,verb,/əˈpruːv/,"Ờ, ba rủ về quê và cả nhà đều tán thành",http://www.travelweek.ca/wp-content/uploads/2015/11/11.02_news_TravelBrands-creditors-approve-plan.jpg,Google,My boss approve the contract
Argue,verb,/ˈɑːrɡ.juː/,"Ông suốt ngày chỉ biết ăn ngủ, tranh luận với ai được",https://az616578.vo.msecnd.net/files/2016/07/29/636054286261125900-2043032298_arguing.jpg,Google,I rarely argue with my brother
Blame,verb,/bleɪm/,Bà lém thế sao sếp khiển trách được. Có khi lại được khen thưởng cũng nên,https://www.incimages.com/uploaded_files/image/970x450/getty_507748676_200013352000928053_341440.jpg,Google,Jack always blames others for his mistake
Brief,verb,/briːf/,Ríp tóm tắt câu truyện trong 3 nốt nhạc,http://www.lukaspitra.cz/wp-content/uploads/checklist_feature.jpg,Google,The president was briefed on the situation
Brochure,noun,/broʊˈʃʊr/,Bộ râu giả của sư phụ ở trong cuốn sách nhỏ,https://static3.uprinting.com/photo-gallery/110003/UP_Brochures_Main_Image[1]_450x450.jpg,Google,Take a look at our travel brochure
Certain,adverb,/ˈsɝː.tən/,"Biết chắc là mình sai, anh ta sợ từng li từng tí",https://img.cache.vevo.com/thumb/cms/b7dc69ffcf994f8328f240997019979a201629820514929.jpg,Google,I'm not certain about that
Comma,noun,/ˈkɑː.mə/,Con mà đặt giấu phẩy ở đây thì câu này sai hoàn toàn đấy nhé,https://thethesiswhisperer.files.wordpress.com/2018/01/screen-shot-2018-01-08-at-10-46-11-am.png,Google,Use a comma when you are writing lists
Complaint,noun,/kəmˈpleɪnt/,Ngày nào mấy con ma còn lên đây là còn mấy lời phàn nàn của ông ta,https://marketingweek.imgix.net/content/uploads/2016/02/15000148/Customersatisfaction.jpg,Google,I don't want to hear one more complaint from you
Complete,verb,/kəmˈpliːt/,Bữa cơm hôm nay không được hoàn tất vì cơm hết giữa chừng,https://3.bp.blogspot.com/-t7gP_fRJ69w/Wph7NmigtFI/AAAAAAACYYk/zP70uRk2yIMhF98fBu3hbnA69Q4zSwqgQCLcBGAs/s320/site%2Bupgrade%2Bcomplete.jpg,Google,Have you complete your homework
Conference,noun,/ˈkɑːn.fɚ.əns/,Hội nghị APEC lần này có cả cơm phở phục vụ dần trong bữa tiệc,http://blackbird.marketing/wp-content/uploads/2018/02/featured-1024x546-1024x585.jpg,Google,There is a big conference next week
