word,wordType,pronunciation,meaning,example
advanced,adj,/əd'vɑ:nst/,"tiên tiến, tiến bộ",This is the most advanced type of engine available.
chain,noun,/tʃein/,chuỗi (khách sạn); nhà hàng....),She has built up a chain of 180bookshopsacross the country.
check in,verb,,"làm thủ tục đăng ký (để vào khách sạn, vào hội nghị, lên máy bay…)",Passengers are requested to check in two hours before the flight.
confirm,verb,/kən'fə:m/,"xác nhận, chứng thực",[ + that ] Six people have confirmed that they will be attending and ten haven't replied yet.
expect,verb,/iks'pekt/,"mong chờ, mong đợi",We are expecting a lot of applicants for the job.
housekeeper,noun,"/'haus,ki:pə/","quản gia; người coi nhà, người giữ nhà",She complains to the housekeeper.
notify,verb,/'noutifai/,"báo, thông báo, khai báo",The school is required to notify parents if their children fail to come to school.
preclude,verb,/pri'klu:d/,"loại trừ, trừ bỏ, ngăn ngừa; đẩy ra",His contract precludes him from discussing his work with anyone outside the company.
quote,verb,/kwout/,"(n) sự trích dẫn, lời trích dẫn",He's always quoting from the Bible.
rate,noun,/reit/,"mức, giá","Although she's recovering from her illness, her rate of progress is quite slow."
reservation,noun,"/,rezə'veiʃn/",sự dành trước,I'd like to make a table reservation for two people for nine o'clock.
service,noun,/'sə:vis/,"dịch vụ, sự phục vụ",the postal service
