word,wordType,pronunciation,meaning,example
abundant,adj,/ə'bʌndənt/,"nhiều, phong phú, thừa",an abundant supply of food
accomplishment,noun,/ə'kɔmpliʃmənt/,"thành tựu, thành tích; sự hoàn thành, sự làm xong",Getting the two leaders to sign a peace treaty was his greatest accomplishment.
bring together,verb,,"gom lại; nhóm lại, họp lại",The disaster brought the community together.
candidate,noun,/'kændidit/,"ứng cử viên, thí sinh, người dự thi, người dự tuyển",There are three candidates standing in the election.
come up with,verb,,"đưa ra, phát hiện, khám phá, ý định",She's come up with some amazing scheme to double her income.
commensurate,adj,/kə'menʃərit/,"(+with) xứng với, tương xứng với",a salary that is commensurate with skills and experience
match,noun,/mætʃ/,"‹cái› xứng nhau, hợp nhau; địch thủ, đối thủ, người ngang tài sức;",a tennis match
profile,noun,/profile/,"tiểu sử sơ lược, bản tóm lược các đặc tính",You can post your relation ship status on your Facebook profile.
qualification,noun,"/,kwɔlifi'keiʃn/","tư cách, khả năng, năng lực, trình độ (để làm cái gì);",You'll never get a good job if you don't have any qualifications.
recruit,"verb, noun",/ri'kru:t/,"(v) tuyển dụng, (n) lính mới, nhân viên mới, thành viên mới",Charities such as Oxfam are always trying to recruit volunteers to help in their work.
submit,verb,/səb'mit/,"trình, đệ trình; biện hộ",You must submit your application before 1 January.
time-consuming,adj,/tʌɪm/ /kənˈsjuːmɪŋ/,"tốn nhiều thời gian, dài dòng",Producing a dictionary is a very time-consuming job.
