word,wordType,pronunciation,meaning,example
accounting,noun,/ə'kauntiɳ/,công việc kế toán,"accounting methods/practices/procedures. The lawsuit alleges that the company ""has engaged in a pattern of questionable business and accounting practices""."
accumulate,verb,/ə'kju:mjuleit/,tích lũy,"As people accumulate more wealth, they tend to spend a greater proportion of their incomes."
asset,noun,/'æset/,"tài sản, của cải",He'll be a great asset to the team.
audit,"noun, verb",/'ɔ:dit/,"(n) sự kiểm toán, (v) kiểm toán","As a senior citizen, he is allowed to audit university classes."
budget,"noun, verb",/ˈbʌdʒɪt/,"(n)ngân sách, ngân quỹ, (v) lên ngân sách",The firm has drawn up a budget for the coming financial year.
build up,verb,/'bildʌp/,"tăng cường, gom lại, tích lại",The build-up of troops in the region makes war seem more likely.
client,noun,/'klaiənt/,"khách, khách hàng",Mr. Black has been a client of this firm for many years.
debt,noun,/det/,"nợ, món nợ",He managed to pay off his debts in two years.
outstanding,adj,/aut'stændiɳ/,còn tồn tại,an outstanding performance/writer/novel/year
profitably,adverb,/ˌprɒfɪtəˈbɪləti/,"có lợi, sinh lợi, sinh lãi",It was several months before the company started to trade profitably.
reconcile,verb,/'rekənsail/,"hòa giải, giảng hòa",Who can reconcile two enemies?
turnover,noun,/ˈtɜːnəʊvə(r)/,"doanh số, doanh thu",Large supermarkets have high turnovers (= their goods sell very quickly).
