word,meaning,example
to flirt with somebody,tán tỉnh ai đó,
to go on a blind date,đi hẹn hò với một người không hề quen biết,
to love at first sight,yêu từ cái nhìn đầu tiên,
to find the love of your life,tìm thấy được tình yêu đích thực,
to be dating somebody,đang hẹn hò với ai đó,
to move in with somebody,dọn vào sống chung với ai đó,
to be engaged with somebody,đính hôn với ai đó,
to get married with somebody,kết hôn với ai đó,
to have an arranged marriage,có một cuộc hôn nhân được sắp đặt sẵn,
to go on a honeymoon,đi hưởng tuần trăng mật,
to have children,có con,
to fight with somebody,"gây gỗ, cãi nhau với ai đó",
to break up with somebody,chia tay ai đó,
to be separated with somebody,ly thân với ai đó,
to be divorced with somebody,li dị với ai đó,
