word,wordType,pronunciation,meaning,example
appreciation,noun,"/ə,pri:ʃi'eiʃn/","‹sự› đánh giá, sự cảm kích",Max has no appreciation of the finer things in life.
be made of,verb,,"làm bằng (cái gì), gồm có (cái gì)","No, you can't have another bike - I'm not made of money!"
bring in,verb,,"Thuê, mướn, tuyển dụng, dẫn tới, mang tới",We need to bring in an expert to deal with this problem.
casually,adverb,/ˈkæʒuəli/,"bình thường, không trịnh trọng, thân mật (informally)",She was dressed casually in shorts and a T-shirt.
code,noun,/koud/,"quy định, quy tắc, luật lệ, đạo lý",The message was written in code.
expose,verb,/iks'pouz/,"phơi bày, bộc lộ, phô ra, trưng bày",The plaster on the walls has been removed to expose the original brick underneath.
glimpse,noun,/glimps/,"nhìn lướt qua, thoáng qua",We glimpsed the ruined abbey from the windows of the train.
out of,adj,,"hết, mất, không còn",An apple rolled out of the bag.
outdated,adj,/aut'deitid/,"hết hạn; lỗi thời, lạc hậu, cổ, hiện nay không còn dùng (obsolete)",outdated weapons/ideas
practice,"noun, verb",/'præktis/,"(n) sự thực hành, (v) thực hành, rèn luyện, tập luyện; thói quen, thủ tục","How do you intend to put these proposals into practice, Mohamed?"
reinforce,verb,"/,ri:in'fɔ:s/","tăng cường, củng cố, gia cố",The pockets on my jeans are reinforced with double stitching.
verbally,adverb,/'və:bəli/,"bằng miệng, bằng lời nói",The judge then verbally agreed to the attorney's request.
