word,wordType,pronunciation,meaning,example
characteristic,"adj, noun","/,kæriktə'ristik/","(adj) đặc thù, (n) đặc trưng, đặc điểm, đặc thù, cá biệt","Unfortunately, a big nose is a family characteristic."
consequence,noun,/'kɔnsikwəns/,"kết quả, hậu quả, hệ quả; tầm quan trọng, tính trọng đại",Not making a will can have serious consequences for your children and other family members.
consider,verb,/kən'sidə/,"cân nhắc, suy xét, suy nghĩ (một cách cẩn thận)",Don't make any decisions before you've considered the situation.
cover,verb,/'kʌvə/,"che, phủ, trùm, bọc; bao gồm",The light was so bright that I had to cover my eyes.
expiration,noun,"/,ekspaiə'reiʃn/","sự mãn hạn, sự hết hạn, sự kết thúc",the expiration of a lease/visa
frequently,adverb,/ˈfriːkwəntli/,"thường xuyên, một cách thường xuyên",frequently asked questions
imply,verb,/im'plai/,"ngụ ý, hàm ý, ẩn ý, ý nói",[ + (that) ] Are you implying (that) I'm fat?
promise,"verb, noun",/promise/,"(v) hứa, (n) hứa hẹn, cam đoan, bảo đảm","[ + to-infinitive ], He promised faithfully to call me every week."
protect,verb,/protect/,"bảo vệ, bảo hộ, che chở",clothing that protects you against the cold
reputation,noun,"/,repju:'teiʃn/","danh tiếng, thanh danh, tiếng (tốt của nhân vật)",The company has a worldwide reputation for quality.
require,verb,/ri'kwaiə/,"đòi hỏi, yêu cầu, cần phải",Please call this number if you require any further information.
variety,noun,/və'raiəti/,"đa dạng, nhiều thứ/loại/vẻ khác nhau","When planning meals, you need to think about variety and taste as well as nutritional value."
