word,wordType,pronunciation,meaning,example
acquire,verb,/ə'kwaiə/,"đạt được, thu được",He acquired the firm in 2008.
admire,verb,/əd'maiə/,"khâm phục, thán phục","We stood for a few moments, admiring the view."
collection,noun,/kə'lekʃn/,"‹sự› sưu tầm, thu thập",a private art collection
criticism,noun,/'kritisizm/,‹sự/lời› phê bình,The designs for the new mosque have attracted widespread criticism.
express,verb,/iks'pres/,"biểu lộ, bày tỏ",Her eyes expressed deep sadness.
fashion,noun,/'fæʃn/,"thời trang, mốt",Long hair is back in fashion for men.
leisure,noun,/'leʤə/,‹lúc/thời gian› nhàn rỗi,leisure activities
respond,verb,/ris'pɔns/,"hồi âm, phúc đáp","[ + speech ] To every question, he responded: ""I don't know."""
schedule,verb,/'ʃedju:/,"thời gian biểu, lịch trình",a production schedule
significant,noun,/sig'nifikənt/,"quan trọng, trọng đại",There has been a significant increase in the number of women students in recent years.
specialize,verb,/'speʃəlaiz/,chuyên môn hóa,She hired a lawyer who specializes in divorce cases
spectrum,noun,/'spektrəm/,sự phân bổ theo tính chất,"The colors of the spectrum - red, orange, yellow, green, blue, indigo, and violet - can be seen in a rainbow."
