word,wordType,pronunciation,meaning,example
available,adj,/ə'veiləbl/,"sẵn có, sẵn sàng",Is this dress available in a larger size?
broaden,to become wider,/'brɔ:dn/,"mở rộng, nới rộng",The track broadens and becomes a road at this point.
category,noun,/'kætigəri/,"loại, hạng","There are three categories of accommodation - standard, executive, and deluxe."
disparate,adj,/'dispərit/,"khác biệt, khác loại",The two cultures were so utterly disparate that she found it hard to adapt from one to the other.
divide,verb,/di'vaid/,"chia ra, phân chia; chia rẽ, ly gián","At the end of the lecture, I'd like all the students to divide into small discussion groups."
favor,verb,/'feivə/,"chiếu cố, thiên vị; thích, thiện cảm","In applying for this job, Tiffany has a lot in her favor(= to her advantage)."
instinct,noun,/in'stiɳkt/,"bản năng; năng khiếu, thiên hướng",All his instincts told him to stay near the car and wait for help.
prefer,verb,/pri'fə:/,"thích hơn, ưa hơn; đề bạt, thăng cấp; đưa ra, trình ra",Do you prefer hot or cold weather?
reason,noun,/'ri:zn/,"lý do, lý lẽ; lý trí, lẽ phải","The reason for the disaster was engine failure, not human error."
relaxation,noun,"/,ri:læk'seiʃn/","‹sự› thư giãn, giải trí",I go fishing for relaxation.
taste,noun,/teist/,"vị giác,‹sự› nếm, thưởng thức",I love the taste of garlic.
urge,verb,/ɜːdʒ/,"thúc giục, thúc đẩy",The two of them seem unable to control their sexual urges.
