word,wordType,pronunciation,meaning,example
anxious,adj,/'æɳkʃəs/,"lo âu, băn khoăn",My mother always gets a bit anxious if we don't arrive when we say we will.
ascertain,verb,"/,æsə'tein/","biết chắc, xác định rõ ràng",The police have so far been unable to ascertain the cause of the explosion.
assume,verb,/ə'sju:m/,"giả sử, cho rằng",[ + (that) ] I assumed (that) you knew each other because you went to the same school.
decade,noun,/'dekeid/,thập niên,The economy is growing at its fastest rate this decade.
examine,verb,/ig'zæmin/,"khám xét, xem xét",Forensic scientists are examining the wreckage for clues about the cause of the explosion.
experiment,"verb, noun",/iks'periment/,"(v) làm thí nghiệm, (n) cuộc thí nghiệm",Some people believe that experiments on animals should be banned.
logical,adj,/'lɔdʤikəl/,"hợp lý, hợp với lôgic",a logical choice/conclusion
research,noun,/ri'sə:tʃ/,sự nghiên cứu,scientific/medical research
responsibility,noun,"/ris,pɔnsə'biliti/","trách nhiệm, bổn phận",[ + to-infinitive ] It's her responsibility to ensure the project finishes on time.
solve,verb,/sɔlv/,"giải, giải quyết, làm sáng tỏ",to solve a problem
supervisor,noun,/'sju:pəvaizə/,người giám sát,All managers and supervisors should be familiar with policies and procedures relating to equal employment opportunities.
systematically,adverb,/ˌsɪstəˈmætɪkli/,"có hệ thống, có phương pháp",They aim to systematically tackle the root causes of the disease.
