word,wordType,pronunciation,meaning,example
diversify,verb,/dai'və:sifai/,thay đổi,"Millions of years ago, changes in the earth's climate caused animal and plant life to diversify."
enterprise,noun,/'entəpraiz/,"công trình, dự án lớn",Don't forget this is a commercial enterprise - we're here to make money.
essentially,adverb,/ɪˈsenʃəli/,cần thiết,It's essentially a dictionary but it differs in one or two respects.
everyday,adverb,/'evridei/,thường ngày,the everyday lives of ordinary Russian citizens
function,"verb,noun",/fʌŋkʃn/,"(v) thực hiện chức năng, (n) chức năng, nhiệm vụ",The function of the veins is to carry blood to the heart.
maintain,verb,/men'tein/,bảo quản,The army has been brought in to maintain order in the region.
obtain,verb,/əb'tein/,đạt được,to obtain permission
prerequisite,noun,/'pri:'rekwizit/,điều kiện tiên quyết,Passing a written test is a prerequisite for taking the advanced course.
quality,noun,/'kwɔliti/,chất lượng,a shop advertising top quality electrical goods
smooth,adj,/smu:ð/,"nhẵn, trơn",a smooth surface/texture/consistency
source,noun,/sɔ:s/,nguồn gốc,a source of heat/energy/light
stationery,noun,/'steiʃnəri/,đồ dùng văn phòng,business/personal stationery
