word,wordType,pronunciation,meaning,example
hotel,noun,/həu´tel/,khách sạn,a four-star hotel
restaurant,noun,/´restərɔn/,nhà hàng,a Chinese/Italian/Mexican restaurant
garage,noun,/´gæra:ʒ/,ga-ra sửa xe,Did you put the car in the garage?
bank,noun,/bæηk/,ngân hàng,The big banks have been accused of exploiting small firms.
post office,,/ˈpoʊst ˌɑː.fɪs/,bưu điện,
dentist,noun,/dentist/,nha sĩ,You should have your teeth checked by a dentist at least twice a year.
doctor,noun,/dɔktə/,bác sĩ,The doctor prescribed some medication.
flowers arrangement,,/ˈflaʊ.ɚ əˈreɪndʒ.mənt/,dịch vụ điện hoa,
hairdresser,noun,/heədresə/,thợ cắt tóc,I'm going to change my hairdresser.
cinema,noun,/ˈsɪnəmə/,rạp chiếu phim,The town no longer has a cinema.
theater,noun,/θiətər/,rạp hát,Lincoln Plaza Cinema has five movie theaters.
stadium,noun,/steidiəm/,sân vận động,Thousands of fanspacked into the stadium to watch the match.
gallery,noun,/gæləri/,phòng triễn lãm,the National Portrait Gallery
museum,noun,/mju:´ziəm/,viện bảo tàng,a museum of modernart
library,noun,/laibrəri/,thư viện,a public/university library
